ID,Text,Entities,Relations
12,亚太传播学会联盟与亚洲舆论学会还将于12月4日至6日在菲律宾举行同主题学术年会，以加强多区域的合作交流。亚太传播学会联盟于2018年10月25日创建于清华大学，旨在为亚太地区新闻传播研究合作与教育交流提供广泛而紧密的平台。在全球化的背景下，联盟将致力于弥合因语言文化、社会制度、经济发展水平等原因造成的区域间传播隔阂，促进学科研究和高等教育的发展。,国家(0-2): 亚太; 机构(0-8): 亚太传播学会联盟; 机构(9-15): 亚洲舆论学会; 国家(9-11): 亚洲; 国家(27-30): 菲律宾; 机构(52-60): 亚太传播学会联盟; 国家(52-54): 亚太; 机构(75-79): 清华大学; 国家(83-87): 亚太地区,"机构间<亚太传播学会联盟,亚洲舆论学会>; 国家-机构<菲律宾,亚太传播学会联盟>; 国家-机构<菲律宾,亚洲舆论学会>; 机构间<亚太传播学会联盟,清华大学>"
13,世界城地组织亚太区第九届会员大会在浙江义乌开幕。人民网记者 张帆摄,机构(0-6): 世界城地组织; 机构(24-27): 人民网; 人物(30-32): 张帆,"机构-人物<人民网,张帆>"
14,人民网金华11月14日电 （记者张帆）今天，以“推动亚太经济协同发展”为主题的世界城地组织亚太区第九届会员大会在浙江义乌开幕。,机构(0-3): 人民网; 人物(16-18): 张帆; 国家(26-28): 亚太; 机构(39-45): 世界城地组织; 机构(39-48): 世界城地组织亚太区,"机构-人物<人民网,张帆>; 国家-机构<亚太,世界城地组织亚太区>"
15,亚太是全球经济发展增长的动力之源，推动亚太经济协同发展、深化亚太合作，早已深入人心。作为全球最大、最具代表性的世界城市和地方政府的国际组织，此次世界城市和地方政府联合组织亚太区第九届会员大会旨在为各方搭建交流合作、促进友谊团结的重要平台。,国家(0-2): 亚太; 国家(19-21): 亚太; 国家(30-32): 亚太; 机构(72-85): 世界城市和地方政府联合组织,"国家-机构<亚太,世界城市和地方政府联合组织>"
16,“世界城地组织亚太区是全球城市开展多边合作的重要平台，是世界各国城市增进友谊、加强合作的桥梁和纽带。”第8任联合国秘书长、博鳌亚洲论坛理事长潘基文在致辞中表示，聚焦本次大会主题，大会设置了“乡村振兴”“产业升级”等分论坛，议题既立足当前又着眼长远，既聚焦亚洲又放眼全球，为交流借鉴城市发展经验提供了平台。“大会期间还将在义乌发起物流委员会成立倡议，这将进一步加强亚太物流合作，促进全球互联互通。”潘基文说。,机构(1-7): 世界城地组织; 机构(54-57): 联合国; 机构(61-67): 博鳌亚洲论坛; 人物(70-73): 潘基文; 国家(181-183): 亚太; 人物(198-201): 潘基文,"机构-人物<联合国,潘基文>; 机构-人物<博鳌亚洲论坛,潘基文>; 机构-人物<潘基文,博鳌亚洲论坛>; 机构-人物<联合国,潘基文>"
17,“在地方层面推动构建亚太命运共同体，是关系亚太国家民生福祉的时代课题，也是地方政府共同肩负的职责使命。”中国人民对外友好协会副会长鄢东在致辞中表示，相聚在义乌召开此次大会，坚守亚太合作初心，聚焦地区迫切需求，探讨如何携手推进亚太经济协同发展，恰逢其时，意义重大，要继续坚持开放包容、平等互利、创新绿色的协同发展。,国家(10-12): 亚太; 机构(10-17): 亚太命运共同体; 国家(21-23): 亚太; 机构(37-41): 地方政府; 国家(52-54): 中国; 机构(52-62): 中国人民对外友好协会; 人物(65-67): 鄢东; 国家(88-90): 亚太; 国家(112-114): 亚太,"国家-机构<亚太,亚太命运共同体>; 国家-机构<中国,中国人民对外友好协会>; 机构-人物<中国人民对外友好协会,鄢东>"
18,作为此次大会的举办地，义乌与亚太地区往来源远流长，民间交流活跃，友城合作紧密，在经贸投资、科技教育和旅游人文等领域有着广阔的发展空间。“义乌与全球230多个国家和地区有贸易往来，2022年实现外贸进出口4788亿元，其中对亚太国家实现进出口总额1769亿元，占全市进出口总额的37%。”金华市委常委、义乌市委书记王健介绍。,国家(14-16): 亚太; 国家(111-115): 亚太国家; 机构(143-147): 金华市委; 机构(150-154): 义乌市委; 人物(156-158): 王健,"机构-人物<金华市委,王健>; 机构-人物<义乌市委,王健>; 机构间<金华市委,义乌市委>"
19,目前，义乌正主动融入共建“一带一路”，国内国际双循环，强力推进创新深化、改革攻坚、开放提升，推动形成内贸外贸并举、线上线下融合、进口出口联动、境内境外打通的商贸发展格局。“义乌始终保持开放姿态，诚挚欢迎海内外友人来义乌采购、交流、研学，欢迎各国企业通过义乌开拓大市场，实现共赢发展。”王健说。,机构(13-17): 一带一路; 人物(142-144): 王健,
20,“今年也是中国加入《东南亚友好合作条约》20周年。”中国—东盟中心秘书长史忠俊为进一步深化合作提出了4点建议：构建开放包容的合作体系，推动高水平的区域经济融合，拓展务实合作新领域，增进民众间友好信任。“义乌可以积极发挥其作为全球最大的小商品集散地的优势，发展优质商品贸易，构建稳定高效的生产供应链。”史忠俊说。,国家(5-7): 中国; 国家(10-13): 东南亚; 机构(10-19): 东南亚友好合作条约; 国家(26-28): 中国; 国家(29-31): 东盟; 机构(26-33): 中国—东盟中心; 人物(36-39): 史忠俊; 人物(150-153): 史忠俊,"国家-机构<中国,东南亚友好合作条约>; 国家-机构<东南亚,东南亚友好合作条约>; 国家间<中国,东盟>; 机构-人物<中国—东盟中心,史忠俊>; 机构-人物<中国—东盟中心,史忠俊>"
21,开幕式后召开了主论坛，与会嘉宾分别围绕“亚太友好城市的力量：联结、交流与合作”“东亚地区RCEP未来增长引擎与发展”“中国在区域贸易及数字物流中的创新、探索与实践”进行了主旨演讲。随后举行的亚太城市和地方政府经贸合作圆桌对话会上，来自中国义乌、中国昆明、菲律宾、新西兰、日本、马来西亚的6名政府负责人分享了经贸合作方面的成功案例或项目，并展开讨论。,人物(11-15): 与会嘉宾; 国家(20-22): 亚太; 国家(39-44): “东亚地区; 国家(59-61): 中国; 国家(95-97): 亚太; 机构(95-113): 亚太城市和地方政府经贸合作圆桌对话会; 国家(117-119): 中国; 国家(122-124): 中国; 国家(127-130): 菲律宾; 国家(131-134): 新西兰; 国家(135-137): 日本; 国家(138-142): 马来西亚; 人物(145-150): 政府负责人,"机构-人物<亚太,与会嘉宾>; 国家间<“东亚地区,中国>; 国家-机构<亚太,亚太城市和地方政府经贸合作圆桌对话会>; 国家-人物<中国,政府负责人>; 国家-人物<中国,政府负责人>; 国家-人物<菲律宾,政府负责人>; 国家-人物<新西兰,政府负责人>; 国家-人物<日本,政府负责人>; 国家-人物<马来西亚,政府负责人>"
22,地区各方唯有以战略和长远眼光看待亚太合作，维护亚太经合组织在区域合作中的主渠道地位，维护亚太合作正确方向，才能有效因应时代挑战，共同开拓发展新局面,国家(16-18): 亚太; 国家(23-25): 亚太; 机构(23-29): 亚太经合组织; 国家(44-46): 亚太,
23,亚太经合组织第三十次领导人非正式会议即将举行。当前，亚太地区局势总体稳定，区域合作不断取得进展，和平发展、合作共赢是主流。与此同时，世界进入新的动荡变革期，地缘政治紧张与经济格局演变叠加，冲击亚太地区发展环境和合作架构。站在新的十字路口，亚太合作能否坚守初心，坚持正确方向，坚定朝着构建亚太命运共同体目标迈进，关乎世界和平与发展，考验地区各方的智慧与担当。,机构(0-6): 亚太经合组织; 国家(0-2): 亚太; 人物(10-13): 领导人; 机构(0-18): 亚太经合组织第三十次领导人非正式会议; 国家(26-28): 亚太; 国家(96-98): 亚太; 国家(96-100): 亚太地区; 国家(119-121): 亚太; 机构(143-150): 亚太命运共同体,"机构-人物<亚太经合组织,领导人>; 国家-机构<亚太,亚太命运共同体>"
24, （一）,,
25,21世纪是亚太世纪。,国家(5-7): 亚太,
26,亚太经合组织的诞生和发展顺应了开放融合的历史潮流，顺应了亚太地区谋求发展的强烈愿望，顺应了各国人民携手应对挑战的共同需要。成立30多年来，亚太经合组织逐步发展为亚太地区层级最高、领域最广、最具影响力的经济合作机制，见证了亚太发展的历史成就，是造就“亚太奇迹”的重要推动力量。,国家(0-2): 亚太; 机构(0-6): 亚太经合组织; 国家(28-30): 亚太; 国家(28-32): 亚太地区; 机构(69-75): 亚太经合组织; 国家(69-71): 亚太; 国家(80-84): 亚太地区; 国家(80-82): 亚太; 国家(110-112): 亚太; 国家(124-126): 亚太,"国家-机构<亚太经合组织,亚太>; 国家-机构<亚太,亚太经合组织>"
27,亚太经合组织的成功故事，是建设开放型世界经济的精彩篇章。以茂物目标为指引，不断提升区域经济一体化水平；推动贸易投资自由化便利化和经济技术合作两个轮子一起转，努力实现优势互补和均衡发展……亚太经合组织秉持开放的区域主义，坚持多样性、非歧视原则，构筑了包容普惠的地区合作架构，不仅惠及地区，也在引领多边贸易体制演变上发挥了重要作用。,国家(0-2): 亚太; 机构(0-6): 亚太经合组织; 机构(93-99): 亚太经合组织; 国家(93-95): 亚太,
28,当前，国际形势变乱交织，亚太发展也并非风平浪静，扭曲国际准则、阻碍经济联系、加剧地区紧张的行为屡见不鲜。值此关键当口，地区各方唯有以战略和长远眼光看待亚太合作，维护亚太经合组织在区域合作中的主渠道地位，维护亚太合作正确方向，才能有效因应时代挑战，共同开拓发展新局面。,国家(12-14): 亚太; 国家(75-77): 亚太; 国家(82-84): 亚太; 机构(82-88): 亚太经合组织; 机构(103-105): 亚太,
29,进一步加强亚太经合组织合作，应当坚持既定目标。亚太经合组织各成员在初步实现茂物目标基础上，已经通过2040年愿景，提出建成开放、活力、强韧、和平的亚太共同体目标，为未来一个时期亚太经济合作提供了重要指引。目标既然明确，就应起而行之。各成员应不断深化亚太经合组织框架内合作，推进亚太自由贸易区进程，落实布特拉加亚愿景。刻意稀释“亚太”概念，试图摒弃地区行之有效的合作架构另起炉灶，只会让亚太合作偏离正轨，给地区发展增添障碍。,机构(5-11): 亚太经合组织; 国家(5-7): 亚太; 国家(23-25): 亚太; 机构(23-29): 亚太经合组织; 机构(73-78): 亚太共同体; 国家(73-75): 亚太; 国家(88-90): 亚太; 国家(124-126): 亚太; 机构(124-130): 亚太经合组织; 机构(138-145): 亚太自由贸易区; 国家(138-140): 亚太; 国家(163-165): 亚太; 国家(192-194): 亚太,"国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太共同体>; 国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太自由贸易区>"
30,进一步加强亚太经合组织合作，应当深化伙伴关系。亚太经合组织是一个大家庭，打造发展创新、增长联动、利益融合的开放型亚太经济格局，符合所有成员共同利益。互信、包容、合作、共赢的伙伴关系，是亚太大家庭的精神纽带，是确保亚太合作处在正确轨道上的重要保障。亚太各国国情千差万别，有分歧并不奇怪。关键是要坚持共谋发展这个公约数，发扬伙伴精神，协商处理分歧，探索解决共同挑战。,国家(5-7): 亚太; 机构(5-11): 亚太经合组织; 机构(23-29): 亚太经合组织; 国家(23-25): 亚太; 国家(56-58): 亚太; 国家(92-94): 亚太; 机构(92-97): 亚太大家庭; 国家(106-108): 亚太; 国家(123-127): 亚太各国; 国家(123-125): 亚太,"国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太大家庭>; 国家间<亚太,亚太各国>"
31,坚持正确方向，才能合力续写“亚太奇迹”。各成员秉持亚太经合组织的宗旨原则，不断深化亚太伙伴关系，发扬大家庭精神，同舟共济、守望相助，朝着构建亚太命运共同体目标不断迈进，才是顺应历史潮流、地区共识、人民意愿的正确选择。,机构(25-31): 亚太经合组织; 国家(25-27): 亚太; 国家(14-16): 亚太; 国家(41-43): 亚太; 国家(70-72): 亚太; 机构(70-77): 亚太命运共同体,"国家-机构<亚太,亚太经合组织>; 国家-机构<亚太,亚太命运共同体>"
32, （二）,,
33,亚太发展前景取决于今天的决断和行动。,国家(0-2): 亚太,
34,亚太地区曾饱受冲突战乱之苦，成为大国争斗的竞技场、国际矛盾的聚集地。过去几十年，亚太发展步入快车道，一个重要前提是地区维持了和平稳定的大环境。正是因为摆脱了冷战阴霾，亚太地区特别是中小经济体步入奔向现代化的快车道，“亚太奇迹”才应运而生。,国家(0-2): 亚太; 国家(0-4): 亚太地区; 国家(40-42): 亚太; 国家(83-85): 亚太; 国家(83-87): 亚太地区; 国家(108-110): 亚太,"国家间<亚太,亚太地区>; 国家间<亚太,亚太地区>"
35,近年来，亚太发展面临的最大风险是个别国家蓄意在地区制造分裂、挑起对抗。冷战思维、霸权主义、单边主义、保护主义上升，对亚太和平发展的冲击正逐步显现。升级地缘博弈的举动加剧地区安全赤字，挑动分裂对抗的言行销蚀合作基础，“泛安全化”做法给正常经济合作横添梗阻。,国家(4-6): 亚太; 国家(16-20): 个别国家; 国家(58-60): 亚太,"国家间<亚太,个别国家>"
36,环顾今日亚太，各方利益交融、命运与共是基本现实。任何搞“新冷战”的图谋，人民不会答应，时代不会允许。地区各方普遍认为，阵营对抗解决不了问题，以意识形态划线、搞地缘政治小圈子没有前途，亚太地区不是谁的后花园，不应该成为大国角斗场。印度尼西亚总统佐科表示，东盟不能成为任何国家的代理人，也不能卷入大国竞争。新加坡副总理兼财政部长黄循财指出，东盟成员国不想选边站队，没有人希望看到爆发“新冷战”。地区国家的这些声音，充分表明和平、发展、合作、共赢是人心所向、大势所趋。,国家(4-6): 亚太; 国家(91-95): 亚太地区; 国家(91-93): 亚太; 国家(114-119): 印度尼西亚; 人物(121-123): 佐科; 人物(119-123): 总统佐科; 机构(126-128): 东盟; 国家(168-173): 东盟成员国; 机构(168-170): 东盟,"国家间<亚太,亚太地区>; 国家-人物<印度尼西亚,总统佐科>; 国家-人物<印度尼西亚,佐科>; 国家-机构<东盟成员国,东盟>"
37,面向未来，亚太发展要续写奇迹，必须筑牢和平发展的根基。各方共同遵循联合国宪章的宗旨和原则，树立共同、综合、合作、可持续的安全观，共同反对冷战思维和阵营对抗，搭建亚太安全架构，才能为亚太经济发展和长治久安创造条件。各国应尊重彼此主权、领土完整，不干涉别国内政，尊重各国人民自主选择的发展道路和社会制度，重视各国合理安全关切，通过对话协商以和平方式解决国家间的分歧和争端。,国家(5-7): 亚太; 机构(33-36): 联合国; 国家(80-82): 亚太; 国家(90-92): 亚太; 国家(106-108): 各国; 国家(131-133): 各国; 国家(152-154): 各国,"国家间<各国,各国>; 国家间<各国,各国>"
38,亚太人民想要的是合作共赢，不是零和对抗。把握住这一点，才能看清地区发展走向和人心向背。亚太各成员和睦相处，珍惜来之不易的和平稳定局面，才能共同推动建设持久和平、共同繁荣的亚太。,国家(0-2): 亚太; 国家(43-45): 亚太; 国家(43-48): 亚太各成员; 国家(85-87): 亚太,
39, （三）,,
40,亚太的开放合作不仅激荡着太平洋，也活跃了世界经济的海洋。,国家(0-2): 亚太,
41,国际货币基金组织近日发布《亚太地区经济展望报告》预测，2023年亚太地区全年经济增长率有望达到4.6%，将对世界经济增长作出约2/3的贡献。这再次表明，亚太是全球最具增长活力和发展潜力的经济板块，是世界经济增长的重要引擎。,机构(0-8): 国际货币基金组织; 国家(13-15): 亚太; 国家(13-17): 亚太地区; 国家(32-36): 亚太地区; 国家(32-34): 亚太; 国家(76-78): 亚太,
42,回顾亚太发展历程，开放合作是重要成功密码。几十年来，亚太各经济体打破市场分割，拉紧经济纽带，积极拥抱世界，为经济发展开辟了广阔空间。茂物目标实施26年，亚太区域的贸易额增长5倍，年均增速6.7%；双向投资增长12倍，年均增速超过10%。,国家(26-32): 亚太各经济体; 国家(26-28): 亚太; 国家(2-4): 亚太; 国家(76-78): 亚太,
43,如何确保亚太始终保持开放合作，是地区各方共同面对的重要命题。一段时间以来，以地缘私利为出发点的所谓“经济安排”，以“去风险”为名搞“脱钩断链”的行为，正给亚太经济制造割裂，阻滞甚至拆解亚太地区长期形成的产业链供应链。亚太能否继续引领经济全球化潮流，在区域经济一体化方面走在时代前列，取决于地区各方维护开放合作的决心与行动。正如新加坡总理李显龙所指出的，“未来取决于我们所做的选择”，地区各方要维护和巩固开放包容的区域架构，深化区域经济一体化。,国家(4-6): 亚太; 国家(77-79): 亚太; 国家(92-96): 亚太地区; 国家(92-94): 亚太; 国家(108-110): 亚太; 国家(163-166): 新加坡; 人物(168-171): 李显龙; 人物(163-171): 新加坡总理李显龙; 人物(166-171): 总理李显龙,"国家-人物<新加坡,总理李显龙>; 国家-人物<新加坡,新加坡总理李显龙>; 国家-人物<新加坡,李显龙>; 国家间<亚太,亚太地区>"
44,坚持开放合作，亚太发展才能共克时艰。面对世界经济复苏乏力，地区各方唯有坚持开放融通，才能释放发展活力，激活增长动能。今年6月，《区域全面经济伙伴关系协定》对15国全面生效，进入全面实施的新阶段。《区域全面经济伙伴关系协定》对区域经济合作的提振作用不断显现，地区发展在世界经济整体承压背景下展现勃勃生机。维护产业链供应链稳定顺畅是亚太经济疫后复苏面临的突出挑战。地区各方要遵循经济规律，坚持市场原则，促进生产要素自由流动，维护货物服务生产和供应体系，打造便利、高效、安全的亚太产业链供应链，共同反对单边主义、保护主义，反对将经贸关系政治化、武器化。,国家(7-9): 亚太; 国家(29-33): 地区各方; 国家(164-166): 亚太; 国家(235-237): 亚太,"国家间<亚太,地区各方>"
45,坚持开放合作，亚太发展才能造福人民。亚太经合组织的初心，是造福亚太人民。过去几十年，亚太经济合作为地区发展注入强大动力，有效提升了人民福祉。亚太的和平、稳定、繁荣属于全体亚太人民，亚太的未来要靠亚太人民携手创造。各方要主动把握时代机遇，充分发挥本地区人力资源广、技术底子好、市场潜力大的特点，打造竞争新优势，为各国人民过上更好日子开辟新可能。注重在经济发展中保障民生，培育包容性发展环境，坚持发展为了人民、发展依靠人民、发展成果由人民共享，建设共同富裕的亚太。,国家(7-9): 亚太; 国家(18-20): 亚太; 机构(18-24): 亚太经合组织; 国家(31-33): 亚太; 国家(42-44): 亚太; 国家(70-72): 亚太; 国家(85-87): 亚太; 国家(90-92): 亚太; 国家(106-108): 各方; 国家(155-157): 各国; 国家(227-229): 亚太,"国家-机构<亚太,亚太经合组织>; 国家间<亚太,各方>; 国家间<各国,亚太>"
46,坚持开放合作，亚太发展才能行稳致远。亚太各成员发展高度互补，利益深度融合，深化区域经济合作，有其深刻的历史必然性，符合地区人民利益。建设亚太自贸区是深化区域经济一体化的关键抓手，也是发展开放型亚太经济、构建亚太命运共同体的重要途径，符合各方共同利益和长远发展需要。通往亚太自由贸易区的路途不会平坦，但各方要始终朝着这个大方向、大目标迈进。各方要坚持开放的区域主义，加强宏观经济政策协调，构建更加紧密的区域产业链供应链，推进贸易和投资自由化便利化，稳步推进区域经济一体化进程，早日建成高水平的亚太自由贸易区。,国家(7-9): 亚太; 国家(18-23): 亚太各成员; 国家(18-20): 亚太; 国家(68-70): 亚太; 机构(68-73): 亚太自贸区; 机构(103-110): 亚太命运共同体; 国家(103-105): 亚太; 国家(96-98): 亚太; 国家(134-136): 亚太; 机构(134-141): 亚太自由贸易区; 机构(245-252): 亚太自由贸易区; 国家(245-247): 亚太,"国家间<亚太,亚太各成员>; 国家-机构<亚太,亚太命运共同体>; 国家-机构<亚太,亚太自由贸易区>; 国家-机构<亚太,亚太自由贸易区>"
47,大时代需要大格局，大格局需要大智慧。只要亚太各方认清世界大势，勇担时代责任，坚持成功经验，坚守合作初心，坚定朝着构建亚太命运共同体目标迈进，就一定能不断造福地区人民，为世界和平发展注入更多亚太力量。,国家(20-22): 亚太; 国家(58-60): 亚太; 国家(94-96): 亚太; 机构(58-65): 亚太命运共同体,"国家-机构<亚太,亚太命运共同体>"
48, 《 人民日报 》（ 2023年11月14日 03 版）,机构(3-8): 人民日报 ,
49,当地时间11月16日上午，国家主席习近平向在旧金山举行的亚太经合组织工商领导人峰会发表题为《同心协力 共迎挑战 谱写亚太合作新篇章》的书面演讲。,人物(17-20): 习近平; 人物(13-20): 国家主席习近平; 机构(28-34): 亚太经合组织; 人物(36-38): 领导; 机构(28-41): 亚太经合组织工商领导人峰会,"机构-人物<亚太经合组织,领导>; 机构-人物<亚太经合组织工商领导人峰会,领导>; 机构-人物<国家主席习近平,亚太经合组织工商领导人峰会>; 机构-人物<习近平,亚太经合组织工商领导人峰会>"
