Entity,Relation,Sentiment
习近平,"国家-人物<中国,习近平主席>",positive
亚太,,positive
亚太地区,,positive
习近平,,neutral
习近平主席,,neutral
亚太,,neutral
亚太,,neutral
亚太区域,,neutral
亚太,,neutral
亚太,,neutral
亚太,,neutral
泰国,"国家-人物<泰国,优沃迪·卡甘盖>",positive
泰国智库,"国家-人物<泰国,副所长优沃迪·卡甘盖>",positive
泰国智库克朗邦雅国家战略研究所,"国家-人物<泰国,泰国智库克朗邦雅国家战略研究所副所长优沃迪·卡甘盖>",positive
优沃迪·卡甘盖,"机构-人物<泰国智库,副所长优沃迪·卡甘盖>",positive
亚太经合组织,"机构-人物<亚太经合组织（APEC）秘书处,丽贝卡·玛利亚>",positive
丽贝卡·玛利亚,"机构-人物<亚太经合组织,执行主任丽贝卡·玛利亚>",positive
亚太经合组织（APEC）秘书处,"机构间<APEC,亚太自由贸易区>",positive
执行主任丽贝卡·玛利亚,"机构间<亚太经合组织,亚太经济体>",positive
亚太地区,"国家-人物<墨西哥,赫拉尔多·托雷斯·巴尔德斯>",positive
亚太,"国家-人物<墨西哥,国际政治专家赫拉尔多·托雷斯·巴尔德斯>",positive
习近平主席,"国家-人物<墨西哥,巴尔德斯>",positive
日本,"国家-人物<日本,客座研究员小池政>",neutral
日本众议院,"国家-人物<日本,日本众议院前议员、清华大学日本研究中心客座研究员小池政>",neutral
日本众议院前议员、清华大学日本研究中心客座研究员小池政,"机构间<日本众议院,清华大学日本研究中心>",neutral
清华大学,"机构间<清华大学,清华大学日本研究中心>",neutral
清华大学日本研究中心,"国家-机构<日本,日本众议院>",neutral
韩国,"国家-人物<韩国,郑载兴>",positive
韩国世宗研究所,"机构-人物<韩国世宗研究所,	韩国世宗研究所研究委员郑载兴>",positive
韩国世宗研究所研究委员郑载兴,"国家-机构<韩国,韩国世宗研究所>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,"机构-人物<亚太命运共同体,习近平>",positive
亚太,"国家-人物<泰国,差瓦立>",positive
亚太命运共同体,"国家-人物<泰国,泰国前总理差瓦立>",positive
亚太,"机构间<席勒研究所,雨果·洛佩兹·奥乔亚>",positive
澳大利亚,"国家-人物<中国,习近平>",positive
戴若·顾比,"国家-人物<中国,习近平主席>",positive
习近平,"国家-人物<澳大利亚,戴若·顾比>",positive
中国,"国家-机构<中国,亚太命运共同体>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太命运共同体,"国家-机构<巴布亚新几内亚,亚太命运共同体>",positive
巴布亚新几内亚,"国家-机构<巴新,亚太命运共同体>",positive
拉法纳玛,"国家-人物<巴布亚新几内亚,拉法纳玛>",positive
中国,"国家-人物<巴新,拉法纳玛>",positive
巴新,"国家间<巴布亚新几内亚,中国>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平主席>",positive
中国,"国家间<亚太,中国>",positive
泰国,"国家-机构<泰国,	泰国参议院外交委员会>",positive
阿颂西,"国家-机构<泰国,泰国参议院>",positive
泰国,"国家-机构<泰国,泰国法政大学>",positive
泰国法政大学,"国家-机构<泰国,泰国法政大学经济学院>",positive
泰国法政大学经济学院,"机构间<泰国法政大学,泰国法政大学经济学院>",positive
泰国参议院,"机构间<	泰国参议院外交委员会,泰国参议院>",positive
泰国参议院外交委员会,"国家-人物<泰国法政大学,阿颂西>",positive
中国,"国家-机构<泰国法政大学经济学院,阿颂西>",positive
亚太,"国家-机构<	泰国参议院外交委员会,阿颂西>",positive
中国,"国家间<中国,亚太>",positive
中国,"国家间<亚太,泰国>",positive
中国,"国家间<中国,智利>",positive
中国,"国家-机构<智利,安托法加斯塔矿业公司>",positive
智利,"机构-人物<安托法加斯塔矿业公司,雷蒙·加拉>",positive
智利,"国家间<智利,中国>",positive
智中商会,"国家-机构<智利,智中商会>",positive
胡安·埃斯特万·穆萨莱姆,"机构-人物<智中商会,胡安·埃斯特万·穆萨莱姆>",positive
APEC,"国家间<印尼,中国>",positive
APEC工商咨询理事会,"机构-人物<APEC工商咨询理事会,阿宁迪亚·巴克里>",positive
印尼,"机构-人物<APEC,阿宁迪亚·巴克里>",positive
阿宁迪亚·巴克里,"国家-人物<印尼,阿宁迪亚·巴克里>",positive
中国,"国家间<中国,亚太>",positive
亚太,"国家间<印尼,亚太>",positive
中国,"国家-机构<中国,中共>",positive
秘鲁,"国家间<秘鲁,中国>",positive
萨维亚能源公司,"国家-机构<秘鲁,萨维亚能源公司>",positive
吉列尔莫·费雷罗斯,"机构-人物<萨维亚能源公司,吉列尔莫·费雷罗斯>",positive
中国,"国家-人物<秘鲁,吉列尔莫·费雷罗斯>",positive
红彦、,"机构-人物<人民日报,红彦、>",neutral
念生、,"机构-人物<人民日报,念生、>",neutral
彦、,"机构-人物<人民日报,彦、>",neutral
一鸣、,"机构-人物<人民日报,一鸣、>",neutral
广勇、,"机构-人物<人民日报,广勇、>",neutral
歌、,"机构-人物<人民日报,歌、>",neutral
志文、,"机构-人物<人民日报,志文、>",neutral
益普、,"机构-人物<人民日报,益普、>",neutral
佳宁、,"机构-人物<人民日报,佳宁、>",neutral
梦瀛、,"机构-人物<人民日报,梦瀛、>",neutral
翔、,"机构-人物<人民日报,翔、>",neutral
林炜、,"机构-人物<人民日报,林炜、>",neutral
菲、,"机构-人物<人民日报,菲、>",neutral
效卫）,"机构-人物<人民日报,效卫）>",neutral
人民日报,,neutral
新华社,,neutral
亚太,,positive
亚太,,neutral
亚太经合组织,,neutral
中华人民共和国,"国家-人物<中华人民共和国,习近平>",neutral
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
联合国,"国家-机构<亚太,联合国>",neutral
亚太,"国家-机构<亚太,亚太自由贸易区>",positive
人类命运共同体,"国家-机构<亚太,亚太经合组织>",positive
亚太经合组织,"机构间<人类命运共同体,亚太经合组织>",positive
亚太,"机构间<亚太经合组织,亚太共同体>",positive
亚太共同体,"国家-机构<亚太,亚太共同体>",positive
亚太,"国家间<中方,亚太>",positive
中方,"国家-机构<中方,亚太共同体>",positive
亚太,"国家-机构<中方,人类命运共同体>",positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,"国家-机构<中国,国际进口博览会>",positive
国际进口博览会,"国家-机构<中国,全球数字贸易博览会>",positive
全球数字贸易博览会,"国家-机构<中国,区域全面经济伙伴关系协定>",positive
中国,"国家-机构<中国,全面与进步跨太平洋伙伴关系协定>",positive
区域全面经济伙伴关系协定,"国家-机构<中国,数字经济伙伴关系协定>",positive
全面与进步跨太平洋伙伴关系协定,"国家-机构<中国,自由贸易区>",positive
数字经济伙伴关系协定,"国家-机构<中国,一带一路”>",positive
自由贸易区,"机构间<一带一路,“一带一路”国际合作高峰论坛>",positive
一带一路”,"国家-机构<中国,中国金融机构>",positive
中国,"国家-机构<中国,“一带一路”国际合作高峰论坛>",positive
国际合作高峰论坛,"国家-机构<中国,国际合作高峰论坛>",positive
一带一路,"国家-机构<中国,一带一路>",positive
“一带一路”国际合作高峰论坛,"国家-机构<中国,一带一路>",positive
中国,"国家-机构<中国,一带一路>",positive
中国,,positive
华,,positive
华,,positive
华,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
亚太,"国家间<亚太,中国>",positive
亚太,,positive
亚太,"机构间<亚太,亚太经合组织>",neutral
中华人民共和国,"国家-人物<中华人民共和国,习近平>",neutral
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
联合国,"国家-机构<亚太,联合国>",neutral
亚太,,positive
亚太,,positive
人类命运共同体,"国家-机构<亚太,亚太共同体>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,人类命运共同体>",positive
亚太共同体,"国家间<中方,亚太>",positive
亚太,"国家-机构<中方,人类命运共同体>",positive
中方,"国家-机构<中方,亚太经合组织>",positive
亚太,"国家-机构<中方,亚太共同体>",positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
中国,"国家-机构<中国,国际进口博览会>",positive
国际进口博览会,"国家-机构<中国,全球数字贸易博览会>",positive
全球数字贸易博览会,"国家-机构<中国,区域全面经济伙伴关系协定>",positive
区域全面经济伙伴关系协定,"国家-机构<中国,全面与进步跨太平洋伙伴关系协定>",positive
全面与进步跨太平洋伙伴关系协定,"国家-机构<中国,数字经济伙伴关系协定>",positive
数字经济伙伴关系协定,"国家-机构<中国,一带一路>",positive
自由贸易区,"国家-机构<中国,自由贸易区>",positive
一带一路,"国家-机构<中国,一带一路>",positive
中国,"国家-机构<中国,“一带一路”国际合作高峰论坛>",positive
一带一路,"国家-机构<中国,国际合作高峰论坛>",positive
国际合作高峰论坛,"国家-机构<中国,一带一路>",positive
“一带一路”国际合作高峰论坛,"机构间<一带一路,国际合作高峰论坛>",positive
中国,"机构间<一带一路,“一带一路”国际合作高峰论坛>",positive
中国,,positive
华,,positive
华,,positive
华,,positive
中国,,positive
中国,,positive
中国,,positive
中国,,positive
亚太,"国家间<亚太,中国>",positive
新华社,,neutral
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",neutral
中华人民共和国主席,"国家-人物<中华人民共和国主席,习近平>",neutral
拜登总统,"国家-人物<美国,拜登>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太经合组织>",neutral
中国,"国家-机构<亚太,亚太共同体>",positive
亚太,"国家间<亚太,中国>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
中国,"国家间<中国,亚太>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
世界贸易组织,"机构间<世界贸易组织,亚太经合组织>",positive
亚太自由贸易区,"机构间<亚太自由贸易区,亚太经合组织>",positive
亚太经合组织,"国家间<亚太,亚太经合组织>",positive
中国,"机构间<一带一路,国际合作高峰论坛>",positive
一带一路,"国家-机构<中国,一带一路>",positive
国际合作高峰论坛,"国家-机构<中国,区域全面经济伙伴关系协定>",positive
中国,"国家-机构<中国,全面与进步跨太平洋伙伴关系协定>",positive
区域全面经济伙伴关系协定,"国家-机构<中国,数字经济伙伴关系协定>",positive
亚太,,positive
中国,"国家间<中国,亚太>",positive
联合国,"国家-机构<亚太,亚太经合组织>",positive
全球发展共同体,"国家-机构<中国,亚太经合组织>",positive
中国,"国家-机构<中国,全球发展共同体>",positive
亚太经合组织,"国家-机构<亚太,全球发展共同体>",positive
亚太,"国家-机构<中国,联合国>",positive
中国,"国家间<亚太,中国>",positive
习近平,"机构-人物<亚太经合组织,习近平>",neutral
亚太,"国家-机构<亚太,亚太经合组织>",neutral
习近平,"国家-机构<亚太,亚太经合组织>",positive
亚太,"机构-人物<亚太经合组织,习近平>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
习近平,,positive
亚太,,positive
亚太,,positive
亚太经合组织,,positive
亚太,,positive
联合国,"国家-机构<亚太,亚太自由贸易区>",positive
亚太,"国家-机构<亚太,联合国>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
亚太,"机构-人物<人民网,张帆>",neutral
人民网,"机构-人物<人民网,张帆>",positive
张帆,"国家-机构<亚太,亚太区秘书处>",positive
亚太,"国家-机构<中国,中国人民对外友好协会>",positive
中国,"国家-机构<中国,义乌市人民政府>",positive
亚太区秘书处,"国家-机构<中国,世界城地组织>",positive
中国人民对外友好协会,"国家间<亚太,中国>",positive
义乌市人民政府,"国家-机构<中国,人民网>",positive
一带一路,,positive
亚太,,positive
亚太,,positive
亚太,"国家间<孟加拉国,亚太>",positive
亚太,"国家间<亚太,孟加拉国>",positive
世界城地组织,"国家间<中国,亚太>",positive
城地组织理事会,"机构-人物<世界城地组织,博娜蒂娅>",positive
亚太,"机构-人物<世界城地组织亚太区,博娜蒂娅>",positive
亚太区旅游委员会,"机构-人物<城地组织亚太区,博娜蒂娅>",positive
城地组织亚太区,"国家-机构<亚太,亚太区旅游委员会>",positive
博娜蒂娅,"机构间<世界城地组织,城地组织理事会>",positive
世界城地组织亚太区,"机构间<城地组织亚太区,世界城地组织>",positive
世界城地组织,"机构间<城地组织亚太区,世界城地组织亚太区>",positive
亚太,"国家-机构<中国,世界城地组织亚太区>",positive
亚太,"国家-机构<义乌市人民政府外事办公室,吴丹>",positive
新华社,"国家-机构<亚太,亚太经合组织>",neutral
亚太,"机构-人物<亚太经合组织,习近平>",neutral
新华社,,neutral
亚太,"国家间<中国,亚太>",positive
亚太经合组织,"国家间<中国,美国>",positive
美国,"国家间<美国,中国>",positive
习近平,"国家间<美国,亚太>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太经合组织>",neutral
亚太,"机构-人物<亚太经合组织,习近平>",neutral
亚太,"国家间<亚太,巴基斯坦>",positive
巴基斯坦,"国家-机构<巴基斯坦,巴基斯坦智库全球丝绸之路研究联盟>",positive
巴基斯坦智库全球丝绸之路研究联盟,"机构-人物<巴基斯坦智库全球丝绸之路研究联盟,泽米尔·阿万>",positive
阿万,"国家-人物<中国,习近平>",positive
亚太,"国家-人物<中国,习近平>",positive
中国,"国家-机构<中国,一带一路>",positive
习近平,"国家间<亚太,中国>",positive
中国,"国家间<中国,亚太>",positive
中国,"国家间<中国,俄罗斯>",positive
俄罗斯,"国家间<亚太,俄罗斯>",positive
俄罗斯-亚洲工业家和企业家联盟,"国家间<俄罗斯,中国>",positive
曼克维奇,"国家间<俄罗斯,亚太>",positive
亚太,"国家-机构<俄罗斯,俄罗斯-亚洲工业家和企业家联盟>",positive
亚太,"机构-人物<俄罗斯-亚洲工业家和企业家联盟,曼克维奇>",positive
柬埔寨,"国家-人物<柬埔寨,金平>",positive
柬埔寨皇家科学院国际关系研究所,"国家-人物<中国,习近平>",positive
金平,"国家-机构<亚太,亚太经合组织>",positive
习近平,"国家-机构<中国,亚太经合组织>",positive
亚太,"国家间<中国,亚太>",positive
亚太经合组织,"国家间<亚太,中国>",positive
中国,"国家间<中国,柬埔寨>",positive
中国,"国家间<柬埔寨,中国>",positive
亚太,"国家-机构<柬埔寨,柬埔寨皇家科学院国际关系研究所>",positive
中国,"国家-人物<智利,费尔南多·卡夫拉莱斯>",positive
亚太,"机构-人物<智利塔拉帕卡大学,费尔南多·卡夫拉莱斯>",positive
中国,"国家-机构<智利,智利塔拉帕卡大学>",positive
智利,"国家间<中国,智利>",positive
智利塔拉帕卡大学,"国家间<智利,中国>",positive
费尔南多·卡夫拉莱斯,"国家间<中国,亚太>",positive
中国,"国家间<亚太,中国>",positive
阿根廷,"国家间<中国,阿根廷>",positive
亚太,,positive
习近平,"国家-人物<中国,习近平>",positive
亚太,"国家间<中国,亚太>",positive
亚太,"国家间<亚太,中国>",positive
墨西哥,"国家-机构<墨西哥,墨西哥城自治大学>",positive
墨西哥城自治大学,"机构-人物<墨西哥城自治大学,爱德华多·齐利>",positive
爱德华多·齐利,"国家-人物<中国,习近平>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"机构-人物<新加坡国立大学李光耀公共政策学院,顾清扬>",positive
新加坡,"机构间<新加坡国立大学,新加坡国立大学李光耀公共政策学院>",positive
新加坡国立大学,"国家-机构<新加坡,新加坡国立大学>",positive
李光耀,"国家-人物<新加坡,李光耀>",positive
顾清扬,"国家间<中国,新加坡>",positive
新加坡国立大学李光耀公共政策学院,"国家间<新加坡,中国>",positive
中国,"国家-人物<中国,习近平>",positive
一带一路,"国家-人物<中国,习近平>",positive
中国,"国家-机构<中国,一带一路>",positive
一带一路,"国家-机构<中国,一带一路>",positive
卢旺达,"国家间<卢旺达,亚太>",positive
埃吉德·卡鲁兰,"国家间<亚太,卢旺达>",positive
习近平,"国家-人物<卢旺达,埃吉德·卡鲁兰>",positive
亚太,"机构-人物<亚太自由贸易区,习近平>",positive
亚太自由贸易区,"国家-机构<亚太,亚太自由贸易区>",positive
沙特阿拉伯,"国家-机构<中国,中国国家电投黄河公司>",positive
沙特,"国家间<沙特阿拉伯,中国>",positive
阿卜杜勒·阿齐兹·沙巴尼,"国家间<中国,沙特阿拉伯>",positive
习近平,"国家间<中国,沙特>",positive
中国,"国家间<沙特,中国>",positive
中国国家电投黄河公司,"国家-人物<沙特,阿卜杜勒·阿齐兹·沙巴尼>",positive
中国,"国家-机构<中国,一带一路>",positive
新西兰,"国家-机构<新西兰,新西兰亚太经合组织工商咨询理事会>",positive
新西兰亚太经合组织工商咨询理事会,"国家-人物<新西兰,布雷特·赖利>",positive
布雷特·赖利,"国家间<新西兰,中国>",positive
中国,"国家间<中国,新西兰>",positive
老挝,"国家间<老挝,印度尼西亚>",positive
印度尼西亚,"国家间<印度尼西亚,老挝>",positive
中国,"国家间<老挝,中国>",positive
马来西亚,"国家间<中国,老挝>",positive
泰国,"国家间<马来西亚,老挝>",positive
中国,"国家间<老挝,马来西亚>",positive
一带一路,"机构间<一带一路,人类命运共同体>",positive
人类命运共同体,"机构间<人类命运共同体,一带一路>",positive
中国,"国家-机构<中国,人类命运共同体>",positive
哈萨克斯坦,"国家-机构<中国,一带一路>",positive
哈萨克斯坦实业报,"国家-机构<哈萨克斯坦,哈萨克斯坦实业报>",positive
科尔茹姆巴耶夫,"机构-人物<哈萨克斯坦实业报,科尔茹姆巴耶夫>",positive
亚太,,positive
